TimeCreated,EventId,RecordId,Computer,Channel,Level,UserId,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,RemoteHost,MapDescription
2025-04-15T14:00:00.0000000Z,4625,40001,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC0 (10.0.0.0),Failed logon
2025-04-15T14:00:08.0000000Z,4625,40002,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC1 (10.0.0.1),Failed logon
2025-04-15T14:00:16.0000000Z,4625,40003,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC2 (10.0.0.2),Failed logon
2025-04-15T14:00:24.0000000Z,4625,40004,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC3 (10.0.0.3),Failed logon
2025-04-15T14:00:32.0000000Z,4625,40005,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC4 (10.0.0.4),Failed logon
2025-04-15T14:00:40.0000000Z,4625,40006,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user0,LogonType 3,,,,,SRC5 (10.0.0.5),Failed logon
2025-04-15T14:00:48.0000000Z,4625,40007,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user1,LogonType 3,,,,,SRC0 (10.0.0.0),Failed logon
2025-04-15T14:00:56.0000000Z,4625,40008,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user1,LogonType 3,,,,,SRC1 (10.0.0.1),Failed logon
2025-04-15T14:01:04.0000000Z,4625,40009,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user1,LogonType 3,,,,,SRC2 (10.0.0.2),Failed logon
2025-04-15T14:01:12.0000000Z,4625,40010,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user1,LogonType 3,,,,,SRC3 (10.0.0.3),Failed logon
2025-04-15T14:01:20.0000000Z,4625,40011,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1200,Target: CORP\user1,LogonType 3,,,,,SRC4 (10.0.0.4),Failed logon
